bgg_rank,name,hf
832,The Networks,1.2337
833,Between Two Cities,1.4476
834,Warhammer Quest: The Adventure Card Game,2.1579
835,The 7th Citadel,2.5575
836,Tiny Epic Dungeons,1.9354
837,Vegas Showdown,1.1852
838,Moonrakers,1.2826
839,Roll Player Adventures,2.4244
840,Dogs of War,1.1304
841,La Granja: Deluxe Master Set,1.3957
842,New Frontiers,1.5004
843,Reef,1.4501
844,Detective Club,1.2744
845,New York Zoo,1.4583
846,Perudo,2.2101
847,Advanced Squad Leader: Starter Kit #1,1.6396
848,Rhino Hero: Super Battle,1.799
849,Yspahan,1.4138
850,Ezra and Nehemiah,1.4272
851,Khôra: Rise of an Empire,1.3658
852,Blue Moon City,1.3217
853,Eminent Domain,1.5984
854,CO₂: Second Chance,1.6054
855,Deep Sea Adventure,1.7288
856,Azul: Master Chocolatier,2.106
857,Middle-Earth Quest,1.25
858,Thunderstone Advance: Towers of Ruin,1.682
859,Finca,1.3958
860,Blokus,1.9868
861,Wallenstein,1.2
862,Wizard,1.9548
863,Paris: La Cité de la Lumière,1.5686
864,Disney Villainous: The Worst Takes it All,1.6125
865,The Pursuit of Happiness,1.305
866,Warhammer: Invasion,4.0955
867,Undaunted: Stalingrad,2.5677
868,Shipyard,1.1944
869,Kanagawa,1.6024
870,878 Vikings: Invasions of England,1.2338
871,Ricochet Robots,1.5318
872,Circadians: First Light,1.3967
873,Incan Gold,1.9333
874,Blue Lagoon,1.3097
875,Caverna: Cave vs Cave,1.5
876,Tumblin' Dice,2.7346
877,Crown of Emara,1.3229
878,Dice Hospital,1.5595
879,Disney Villainous: Perfectly Wretched,1.2609
880,Railroad Ink: Blazing Red Edition,2.039
881,Saint Petersburg (Second Edition),1.3171
882,Ex Libris,1.311
883,Space Hulk,2.0
884,Clever Cubed,2.2459
885,Empires: Age of Discovery,1.125
886,World Without End,1.2434
887,A War of Whispers,1.1822
888,Raccoon Tycoon,1.2231
889,SpaceCorp: 2025-2300AD,1.3976
890,Smart10,2.099
891,Super Motherload,1.2526
892,Exit: The Game – The Secret Lab,1.0196
893,Cerebria: The Inside World,1.3269
894,Unfair,1.3947
895,Cry Havoc,1.2333
896,Red7,2.4141
897,Santiago,1.1667
898,Gentes,1.2233
899,"Heroes of Land, Air & Sea",1.2245
900,FUSE,2.6363
901,Unlock!: Epic Adventures,1.5286
902,Black Angel,1.3178
903,Tammany Hall,1.1042
904,Hannibal & Hamilcar,1.3642
905,Vast: The Crystal Caverns,1.3137
906,Not Alone,1.6028
907,Panamax,1.1588
908,Merchants Cove,1.4115
909,Inventions: Evolution of Ideas,1.3556
910,Celestia,1.6617
911,Abomination: The Heir of Frankenstein,1.1707
912,Dale of Merchants,1.6803
913,Up Front,2.5
914,Startups,1.9437
915,Zombicide Season 2: Prison Outbreak,1.5742
916,Squad Leader,1.75
917,King of New York,1.5291
918,Clinic: Deluxe Edition,1.3472
919,The Duke,2.3574
920,Jambo,1.6388
921,Letter Jam,1.4615
922,Lovecraft Letter,2.1382
923,Parade,1.6811
924,Tang Garden,1.2756
925,Brazil: Imperial,1.3303
926,Dungeons & Dragons: The Legend of Drizzt Board Game,1.7899
927,Fugitive,2.4208
928,Last Bastion,1.9515
929,Morels,1.6993
930,Battle for Rokugan,1.2051
931,Pandemic: Rising Tide,1.5516
932,Outlive,1.2199
933,Among the Stars,1.2965
934,Wandering Towers,1.625
935,1989: Dawn of Freedom,1.2727
936,Lords of Xidit,1.2
937,Spicy,2.6723
938,Arcadia Quest: Inferno,1.8859
939,Stationfall,1.2996
940,XCOM: The Board Game,1.4271
941,Roam,1.5185
942,Dinosaur World,1.1861
943,Ohanami,1.9439
944,ZÈRTZ,2.2278
945,One Deck Dungeon,2.6207
946,Friedrich,1.2564
947,Imperial Steam,1.2439
948,Tribune: Primus Inter Pares,1.1907
949,Star Wars: The Card Game,3.4085
950,Qwixx,2.6047
951,Coffee Roaster,2.4348
952,Vasco da Gama,1.1724
953,The Lost Expedition,2.0597
954,Scoville,1.1478
955,Rurik: Dawn of Kiev,1.2168
956,Forbidden Island,1.7009
957,Reef Encounter,1.2817
958,Codex Naturalis,1.8823
959,Rhino Hero,2.331
960,Werewords,4.0778
961,Mahjong,3.5833
962,Spyrium,1.2453
963,Earthborne Rangers,2.6582
964,Challengers!,2.6547
965,Combat Commander: Pacific,1.5714
966,Evergreen,1.6991
967,Yedo,1.1707
968,Evacuation,1.3458
969,Life of the Amazonia,1.4008
970,Star Trek: Fleet Captains,1.3275
971,Jekyll vs. Hyde,2.4143
972,Zoo Vadis,1.3672
973,Zombicide: Invader,2.0149
974,Civolution,1.3333
975,"13 Days: The Cuban Missile Crisis, 1962",1.6359
976,Black Sonata,1.944
977,Washington's War,1.3138
978,Container,1.1429
979,Luxor,1.604
980,Caylus 1303,1.194
981,Hyperborea,1.22
982,Roll Through the Ages: The Bronze Age,1.9635
983,Stella: Dixit Universe,1.672
984,Carcassonne: The City,1.3125
985,Nightmare Productions,1.1826
986,Thunderstone,1.74
987,Ca$h 'n Guns: Second Edition,1.466
988,Catacombs (Third Edition),1.2703
989,Red Rising,1.5847
990,Last Night on Earth: The Zombie Game,1.5584
991,San Marco,1.1333
992,Formula Dé,1.5407
993,Akrotiri,1.22
994,Union Pacific,1.1667
995,Pictomania,1.3731
996,Istanbul: The Dice Game,1.7214
997,Palm Island,3.2717
998,Beast,1.3333
999,Spyfall,2.9418
1000,The Mind,2.3981
