hf_rank,bgg_rank,name,hyperfixation
731,518,Pipeline,1.3456
732,759,Twilight Inscription,1.3453
733,355,Tikal,1.3451
734,285,1830: Railways & Robber Barons,1.3443
735,789,Dixit: Journey,1.3443
736,216,Railways of the World,1.344
737,379,Merchants & Marauders,1.3435
738,774,Ticket to Ride: Rails & Sails,1.3425
739,60,Lisboa,1.3409
740,363,Heaven & Ale,1.3396
741,525,Black Rose Wars,1.3377
742,384,Dead of Winter: The Long Night,1.3373
743,753,Snowdonia,1.336
744,580,QE,1.3347
745,621,Jamaica,1.3343
746,25,Concordia,1.3333
747,316,Ethnos,1.3333
748,688,Medici,1.3333
749,974,Civolution,1.3333
750,998,Beast,1.3333
751,477,Imperial Struggle,1.3324
752,597,Skymines,1.332
753,925,Brazil: Imperial,1.3303
754,488,Nippon,1.3301
755,705,First Rat,1.3297
756,776,Treasure Island,1.3289
757,831,Century: Eastern Wonders,1.3281
758,345,Acquire,1.3277
759,970,Star Trek: Fleet Captains,1.3275
760,893,Cerebria: The Inside World,1.3269
761,390,Sid Meier's Civilization: The Board Game,1.3268
762,480,Santa Maria,1.3256
763,456,London (Second Edition),1.3254
764,493,Kingsburg,1.3254
765,124,Lorenzo il Magnifico,1.3242
766,454,Ticket to Ride: Märklin,1.3235
767,669,Creature Comforts,1.3234
768,437,Marrakesh,1.3231
769,877,Crown of Emara,1.3229
770,391,Furnace,1.3228
771,148,Forbidden Stars,1.3226
772,852,Blue Moon City,1.3217
773,115,Keyflower,1.3216
774,218,Modern Art,1.3212
775,690,Barcelona,1.3199
776,253,Cyclades,1.3181
777,9,Star Wars: Rebellion,1.318
778,658,Roads & Boats,1.3179
779,902,Black Angel,1.3178
780,520,Quadropolis,1.3176
781,143,Hansa Teutonica,1.3172
782,881,Saint Petersburg (Second Edition),1.3171
783,666,Tobago,1.3169
784,661,Egizia,1.315
785,977,Washington's War,1.3138
786,905,Vast: The Crystal Caverns,1.3137
787,501,Black Orchestra,1.3135
788,133,Twilight Imperium: Third Edition,1.3129
789,144,Vinhos: Deluxe Edition,1.3125
790,984,Carcassonne: The City,1.3125
791,19,Eclipse: Second Dawn for the Galaxy,1.3114
792,882,Ex Libris,1.311
793,289,Endless Winter: Paleoamericans,1.3107
794,637,StarCraft: The Board Game,1.3107
795,150,Yokohama,1.3097
796,874,Blue Lagoon,1.3097
797,432,Notre Dame,1.3094
798,696,The Battle of Five Armies,1.306
799,584,Kutná Hora: The City of Silver,1.3059
800,865,The Pursuit of Happiness,1.305
801,235,Clash of Cultures: Monumental Edition,1.3046
802,492,Macao,1.3036
803,445,Honey Buzz,1.3032
804,651,Crusaders: Thy Will Be Done,1.3032
805,280,Kanban: Driver's Edition,1.3028
806,726,Disney Villainous: Wicked to the Core,1.3022
807,830,Specter Ops,1.3001
808,420,Lords of Hellas,1.2999
809,939,Stationfall,1.2996
810,382,Above and Below,1.2993
811,234,Ankh: Gods of Egypt,1.2971
812,933,Among the Stars,1.2965
813,533,Fire in the Lake,1.2963
814,508,Libertalia: Winds of Galecrest,1.2956
815,667,Triumph & Tragedy: European Balance of Power 1936-1945,1.2956
816,632,Euphoria: Build a Better Dystopia,1.295
817,652,Nexus Ops,1.2935
818,106,Trickerion: Legends of Illusion,1.2929
819,612,Libertalia,1.2925
820,255,John Company: Second Edition,1.2922
821,590,1775: Rebellion,1.2915
822,200,Chaos in the Old World,1.2909
823,778,Federation,1.2909
824,257,Dinosaur Island,1.2899
825,819,Witchstone,1.2897
826,679,Cuba Libre,1.2895
827,485,Millennium Blades,1.2885
828,636,Unconscious Mind,1.2881
829,750,Civilization: A New Dawn,1.288
830,336,Dungeon Petz,1.2873
831,91,El Grande,1.2864
832,325,The Manhattan Project: Energy Empire,1.2857
833,700,A Game of Thrones,1.2857
834,376,Flamecraft,1.284
835,397,Dungeon Lords,1.2835
836,625,Elysium,1.2831
837,838,Moonrakers,1.2826
838,767,Torres,1.2819
839,957,Reef Encounter,1.2817
840,372,Runewars,1.2797
841,55,Hegemony: Lead Your Class to Victory,1.2795
842,764,Disney Villainous: Evil Comes Prepared,1.2792
843,296,Bitoku,1.2776
844,746,Merv: The Heart of the Silk Road,1.276
845,723,Between Two Castles of Mad King Ludwig,1.2756
846,924,Tang Garden,1.2756
847,844,Detective Club,1.2744
848,387,Antiquity,1.2736
849,935,1989: Dawn of Freedom,1.2727
850,153,Champions of Midgard,1.2725
851,478,The Great Wall,1.2719
852,146,Wonderland's War,1.2712
853,787,The Estates,1.2709
854,300,Steam,1.2705
855,292,1960: The Making of the President,1.2703
856,634,Madeira,1.2703
857,988,Catacombs (Third Edition),1.2703
858,198,Dune,1.2675
859,802,Fury of Dracula (Second Edition),1.2667
860,327,Foundations of Rome,1.2648
861,626,Last Will,1.2642
862,642,Tales of the Arabian Nights,1.2638
863,231,Village,1.2635
864,594,Small World Underground,1.2612
865,879,Disney Villainous: Perfectly Wretched,1.2609
866,371,Alien Frontiers,1.2608
867,223,Ora et Labora,1.2603
868,271,The Princes of Florence,1.2603
869,299,Bora Bora,1.2596
870,179,Endeavor: Age of Sail,1.2587
871,506,The Manhattan Project,1.2581
872,431,The Pillars of the Earth,1.2569
873,946,Friedrich,1.2564
874,461,Bruxelles 1893,1.2544
875,427,Altiplano,1.2532
876,891,Super Motherload,1.2526
877,177,Kemet,1.2511
878,857,Middle-Earth Quest,1.25
879,756,Shakespeare,1.2489
880,438,Gùgōng,1.2472
881,328,Imperial,1.2466
882,962,Spyrium,1.2453
883,630,Atlantis Rising (Second Edition),1.2447
884,469,Spartacus: A Game of Blood and Treachery,1.2439
885,947,Imperial Steam,1.2439
886,886,World Without End,1.2434
887,618,Lacrimosa,1.2432
888,129,Mombasa,1.2423
889,583,Escape Plan,1.2415
890,719,Photosynthesis,1.2413
891,655,Star Trek: Ascendancy,1.2407
892,278,Western Legends,1.2384
893,548,Lords of Vegas,1.2374
894,617,London,1.2361
895,795,Myrmes,1.2357
896,282,Pulsar 2849,1.2348
897,870,878 Vikings: Invasions of England,1.2338
898,832,The Networks,1.2337
899,895,Cry Havoc,1.2333
900,245,Coimbra,1.2332
901,487,Clash of Cultures,1.2326
902,760,Feudum,1.2324
903,341,Age of Empires III: The Age of Discovery,1.2302
904,646,Broom Service,1.23
905,659,Vinhos,1.229
906,695,Carson City,1.2273
907,639,In the Hall of the Mountain King,1.225
908,899,"Heroes of Land, Air & Sea",1.2245
909,670,AquaSphere,1.2244
910,821,Steampunk Rally,1.224
911,898,Gentes,1.2233
912,888,Raccoon Tycoon,1.2231
913,460,IKI,1.2228
914,354,Fury of Dracula (Third/Fourth Edition),1.2222
915,788,Shikoku 1889,1.2222
916,694,Thebes,1.2219
917,981,Hyperborea,1.22
918,993,Akrotiri,1.22
919,932,Outlive,1.2199
920,772,Cuba,1.2198
921,5,Twilight Imperium: Fourth Edition,1.2193
922,549,Amerigo,1.2185
923,732,Brian Boru: High King of Ireland,1.2181
924,367,Chinatown,1.2174
925,467,Pan Am,1.2172
926,955,Rurik: Dawn of Kiev,1.2168
927,330,Navegador,1.2152
928,389,Mission: Red Planet (Second/Third Edition),1.2115
929,786,Luna,1.2105
930,486,Fresco,1.2101
931,408,Maria,1.2083
932,283,Goa: A New Expedition,1.2073
933,141,Rising Sun,1.2065
934,430,Smartphone Inc.,1.2061
935,930,Battle for Rokugan,1.2051
936,619,Airlines Europe,1.2034
937,95,Dominant Species,1.2
938,497,Dune,1.2
939,861,Wallenstein,1.2
940,936,Lords of Xidit,1.2
941,721,Mare Nostrum: Empires,1.1992
942,434,The Godfather: Corleone's Empire,1.1965
943,673,My Father's Work,1.196
944,340,Power Grid Deluxe: Europe/North America,1.1944
945,868,Shipyard,1.1944
946,980,Caylus 1303,1.194
947,948,Tribune: Primus Inter Pares,1.1907
948,754,Churchill,1.1905
949,826,Coal Baron,1.1892
950,718,Mosaic: A Story of Civilization,1.1875
951,942,Dinosaur World,1.1861
952,837,Vegas Showdown,1.1852
953,326,Indonesia,1.1843
954,302,Kemet: Blood and Sand,1.184
955,985,Nightmare Productions,1.1826
956,887,A War of Whispers,1.1822
957,286,Shogun,1.1818
958,311,Rococo,1.1818
959,512,Lancaster,1.1765
960,817,Prêt-à-Porter,1.1765
961,452,Endeavor,1.1746
962,577,Argent: The Consortium,1.1732
963,952,Vasco da Gama,1.1724
964,471,Here I Stand,1.1714
965,911,Abomination: The Heir of Frankenstein,1.1707
966,967,Yedo,1.1707
967,742,Dominant Species: Marine,1.1693
968,770,Belfort,1.1686
969,578,Bus,1.1667
970,822,Crystal Palace,1.1667
971,829,ZhanGuo,1.1667
972,897,Santiago,1.1667
973,994,Union Pacific,1.1667
974,777,Whistle Mountain,1.1644
975,800,Arkwright,1.1633
976,780,Yamataï,1.161
977,544,Amun-Re,1.1606
978,907,Panamax,1.1588
979,360,Imperial 2030,1.1538
980,954,Scoville,1.1478
981,653,Colosseum,1.1467
982,752,The Republic of Rome,1.1464
983,468,Civilization,1.1429
984,978,Container,1.1429
985,392,Sidereal Confluence,1.1397
986,684,Automobile,1.1378
987,991,San Marco,1.1333
988,635,Taj Mahal,1.1325
989,840,Dogs of War,1.1304
990,773,Mexica,1.129
991,601,Unfathomable,1.1268
992,885,Empires: Age of Discovery,1.125
993,691,Francis Drake,1.122
994,683,Struggle of Empires,1.1132
995,903,Tammany Hall,1.1042
996,451,Die Macher,1.0597
997,374,Exit: The Game – The Abandoned Cabin,1.0227
998,892,Exit: The Game – The Secret Lab,1.0196
999,556,Exit: The Game – Dead Man on the Orient Express,1.0187
1000,798,Exit: The Game – The Pharaoh's Tomb,1.0116
