hf_rank,bgg_rank,name,hyperfixation
164,538,"Unmatched: Battle of Legends, Volume Two",2.3745
165,444,Keep the Heroes Out!,2.3653
166,919,The Duke,2.3574
167,378,Innovation,2.3402
168,400,Marvel United: X-Men,2.335
169,959,Rhino Hero,2.331
170,80,Azul,2.3285
171,812,BANG! The Dice Game,2.3244
172,232,Splendor,2.3202
173,572,Shadows of Brimstone: City of the Ancients,2.32
174,820,Caesar!: Seize Rome in 20 Minutes!,2.3084
175,784,Ashes Reborn: Rise of the Phoenixborn,2.3055
176,362,Summoner Wars: Master Set,2.3049
177,479,Sword & Sorcery,2.3023
178,219,Paleo,2.2944
179,498,PitchCar,2.2887
180,74,Star Wars: Imperial Assault,2.2846
181,32,Wingspan,2.2758
182,162,Cartographers,2.2709
183,298,Kingdomino,2.2707
184,161,Hadrian's Wall,2.2595
185,649,Baseball Highlights: 2045,2.2541
186,502,Lord of the Rings: The Confrontation,2.2523
187,747,Trails of Tucana,2.2494
188,662,Knarr,2.2475
189,884,Clever Cubed,2.2459
190,20,7 Wonders Duel,2.233
191,944,ZÈRTZ,2.2278
192,205,Descent: Journeys in the Dark (Second Edition),2.227
193,59,Sleeping Gods,2.2252
194,264,Hanamikoji,2.2171
195,195,Welcome To...,2.2151
196,686,Coloretto,2.2135
197,745,Bloodborne: The Board Game,2.211
198,846,Perudo,2.2101
199,510,Zombicide: 2nd Edition,2.2099
200,33,Too Many Bones,2.2083
201,352,Love Letter,2.2018
202,156,Pandemic,2.1978
203,246,Ticket to Ride,2.1908
204,76,Mechs vs. Minions,2.1888
205,640,DVONN,2.1863
206,317,Dice Throne: Season Two – Battle Chest,2.1841
207,499,Mandala,2.1839
208,335,Love Letter,2.1814
209,314,Cryptid,2.1794
210,98,7 Wonders,2.1741
211,489,Commands & Colors: Napoleonics,2.1667
212,140,The 7th Continent,2.1647
213,93,Through the Ages: A Story of Civilization,2.1632
214,582,Port Royal,2.1609
215,448,Akropolis,2.1592
216,321,Arcadia Quest,2.1579
217,834,Warhammer Quest: The Adventure Card Game,2.1579
218,455,Descent: Legends of the Dark,2.1491
219,751,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2.1429
220,739,Mr. Jack,2.1414
221,403,Pax Renaissance: 2nd Edition,2.1411
222,922,Lovecraft Letter,2.1382
223,599,Nova Luna,2.1368
224,171,Undaunted: Normandy,2.1363
225,749,The Adventures of Robin Hood,2.13
226,443,King of Tokyo,2.1233
227,7,Terraforming Mars,2.1187
228,184,Legendary Encounters: An Alien Deck Building Game,2.1161
229,337,Imperium: Classics,2.1097
230,856,Azul: Master Chocolatier,2.106
231,613,Sushi Go!,2.1059
232,214,Space Base,2.1043
233,890,Smart10,2.099
234,668,Take 5,2.0984
235,23,Clank! Legacy: Acquisitions Incorporated,2.0956
236,568,Risk Legacy,2.0942
237,449,Skull,2.0933
238,727,Kingdom Builder,2.0926
239,808,Shadows of Brimstone: Swamps of Death,2.0822
240,134,Patchwork,2.0814
241,755,Railroad Ink Challenge: Lush Green Edition,2.0752
242,192,Radlands,2.0623
243,535,Point Salad,2.0612
244,953,The Lost Expedition,2.0597
245,531,Undaunted: North Africa,2.058
246,194,Jaipur,2.0556
247,731,Lord of the Rings: The Confrontation,2.0548
248,247,YINSH,2.0519
249,880,Railroad Ink: Blazing Red Edition,2.039
250,550,BattleLore,2.0345
251,657,Dice Throne: Season One,2.03
252,973,Zombicide: Invader,2.0149
253,603,The Grizzled,2.0
254,883,Space Hulk,2.0
255,163,Res Arcana,1.9955
256,419,Star Wars: Armada,1.9944
257,591,Ingenious,1.9932
258,623,Legends of Andor,1.9925
259,310,T.I.M.E Stories,1.9908
260,30,Root,1.9904
261,329,Telestrations,1.9886
262,409,San Juan,1.9882
263,41,Heat: Pedal to the Metal,1.9873
264,494,Mice and Mystics,1.9872
265,860,Blokus,1.9868
266,475,Mythic Battles: Pantheon,1.9795
267,49,Cascadia,1.9759
268,252,Combat Commander: Europe,1.973
269,545,Massive Darkness 2: Hellscape,1.973
270,464,King of Tokyo: Dark Edition,1.9703
271,801,Tash-Kalar: Arena of Legends,1.9692
272,514,Dawn of the Zeds (Third Edition),1.9681
273,297,Mind MGMT: The Psychic Espionage “Game.”,1.9636
274,982,Roll Through the Ages: The Bronze Age,1.9635
275,308,Skull King,1.959
276,338,For Sale,1.9568
277,554,Betrayal Legacy,1.9558
278,862,Wizard,1.9548
279,407,Ghost Stories,1.9534
